,Url,Name,Price,Reviews,Rating
13,https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1679502546&sprefix=ba%2Caps%2C283&sr=8-14,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),299,"(18,034)",4.0
14,https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1679502546&sprefix=ba%2Caps%2C283&sr=8-15,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",839,"(4,964)",4.2
15,https://www.amazon.in/Northzone-Waterproof-Backpack-Business-Dimensions/dp/B0BS6QQZYN/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1679502546&sprefix=ba%2Caps%2C283&sr=8-16,Northzone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,510,(91),3.8
16,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1679502546&sprefix=ba%2Caps%2C283&sr=8-17,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",565,"(9,839)",4.3
17,https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1679502546&sprefix=ba%2Caps%2C283&sr=8-18,Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,699,(117),3.7
18,https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1679502546&sprefix=ba%2Caps%2C283&sr=8-19,Fur Jaden Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port,799,"(10,761)",4.0
19,https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1679502546&sprefix=ba%2Caps%2C283&sr=8-20,DEIN KLEIDER Men's Nylon Messenger Bag,349,"(4,570)",4.0
20,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDY5NjUzMjUxNjMzNzkxOjE2Nzk1MDI1NDY6c3BfYnRmOjIwMTA2NDEwMzM2Mjk4OjowOjo&url=%2FArtistix-Unisex-Travel-Backpack-Repellent%2Fdp%2FB09B5DMGM1%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679502546%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"Artistix Avian Unisex Water Repellent Anti Theft Travel Backpack with USB Port (Black, 32 L)","1,989",(669),4.6
21,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDY5NjUzMjUxNjMzNzkxOjE2Nzk1MDI1NDY6c3BfYnRmOjIwMTA1NDUxODUxNTk4OjowOjo&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BR1D4SL1%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679502546%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,800",(18),4.9
22,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjI3MjU1NDUyMTg4Mzk2OjE2Nzk1MDI1NTg6c3BfYXRmX25leHQ6MjAwOTEwODkyNDY3OTg6OjA6Og&url=%2FHalf-Moon-Backpack-Luggage-Compartment%2Fdp%2FB09VCLZ3K4%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679502558%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,"(2,349)",3.9
23,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjI3MjU1NDUyMTg4Mzk2OjE2Nzk1MDI1NTg6c3BfYXRmX25leHQ6MjAxMTM3ODgxNzUzOTg6OjA6Og&url=%2FHEROZ-Backpack-Resistant-Durable-Notebook%2Fdp%2FB07MJZGXBP%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679502558%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & A. Blue 212),"1,349","(7,738)",4.3
24,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1679502558&sprefix=ba%2Caps%2C283&sr=8-19,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,"1,075","(5,464)",4.4
25,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1679502558&sprefix=ba%2Caps%2C283&sr=8-20,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,748-790,"(1,048)",4.1
26,https://www.amazon.in/Northzone-Waterproof-Backpack-Business-Dimensions/dp/B0BS6QM2GD/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1679502558&sprefix=ba%2Caps%2C283&sr=8-21,Northzone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,535,(91),3.8
27,https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1679502558&sprefix=ba%2Caps%2C283&sr=8-22,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",(11),4.2
28,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1679502558&sprefix=ba%2Caps%2C283&sr=8-23,ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),599,(36),3.9
29,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07PLKV6D1/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1679502558&sprefix=ba%2Caps%2C283&sr=8-24,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,473,"(12,356)",4.3
30,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVCBFM7/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1679502558&sprefix=ba%2Caps%2C283&sr=8-25,ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Green),599,(36),3.9
31,https://www.amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1679502558&sprefix=ba%2Caps%2C283&sr=8-26,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,239,"(3,127)",4.0
32,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjI3MjU1NDUyMTg4Mzk2OjE2Nzk1MDI1NTg6c3BfbXRmOjIwMTI1ODk5OTIwNjk4OjowOjo&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BWNBQXDZ%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679502558%26sprefix%3Dba%252Caps%252C283%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,800",(18),4.9
33,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjI3MjU1NDUyMTg4Mzk2OjE2Nzk1MDI1NTg6c3BfbXRmOjIwMTA4NTk1NTk4MDk4OjowOjo&url=%2FLavie-Sport-Chairman-Compatible-compartments%2Fdp%2FB0B45SWK51%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679502558%26sprefix%3Dba%252Caps%252C283%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Lavie Sport Chairman Laptop Bag | Premium Leatherette Business Backpack for Men & Women | Durable Office Bag for Notebook/MacBook,999,(733),4.0
34,https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1679502558&sprefix=ba%2Caps%2C283&sr=8-29,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",799,"(2,443)",3.9
35,https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1679502558&sprefix=ba%2Caps%2C283&sr=8-30,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",398,"(8,199)",4.1
36,https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1679502558&sprefix=ba%2Caps%2C283&sr=8-31,ADISA Light Weight Laptop Backpack 32 Ltrs,499,"(5,657)",4.0
37,https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1679502558&sprefix=ba%2Caps%2C283&sr=8-32,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",312,"(8,199)",4.1
38,https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1679502558&sprefix=ba%2Caps%2C283&sr=8-33,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",799,(722),3.9
39,https://www.amazon.in/POLESTAR-Vintage-Laptop-Backpack-bagpack/dp/B081GSQ9D9/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1679502558&sprefix=ba%2Caps%2C283&sr=8-34,"POLESTAR Vintage 15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack , Water Resistant and Light Weight, 1 year Warranty",549,"(8,542)",3.9
40,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPTV3795/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1679502558&sprefix=ba%2Caps%2C283&sr=8-35,ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Black),599,(36),3.9
41,https://www.amazon.in/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BS6YGKMC/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1679502558&sprefix=ba%2Caps%2C283&sr=8-36,LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack,529,(2),5.0
42,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjI3MjU1NDUyMTg4Mzk2OjE2Nzk1MDI1NTg6c3BfYnRmOjIwMTMwMzcwODU3ODk4OjowOjo&url=%2FHA-CREATION-Backpack-Multicolour-Collage%2Fdp%2FB0B2Q3MGC8%2Fref%3Dsr_1_37_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679502558%26sprefix%3Dba%252Caps%252C283%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,HA CREATION Heavy duty Large 45-L Backpack (Multicolour) Laptop Backpack Unisex Collage & School Bags,499,(59),3.5
43,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjI3MjU1NDUyMTg4Mzk2OjE2Nzk1MDI1NTg6c3BfYnRmOjIwMTMyMTI0MjA4Mzk4OjowOjo&url=%2FHalf-Moon-Trekking-Bags-Compartment%2Fdp%2FB08PSX1LN9%2Fref%3Dsr_1_38_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679502558%26sprefix%3Dba%252Caps%252C283%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Half Moon 45L Hammer Waterproof Laptop Travelling Rucksack Trekking Backpack for Travel Journey bags for Men Women Boys & Girls with 17.3inch Laptop Compartment & Rain cover,"1,299","(1,017)",4.1
